clip_name,event_start_frame,event_end_frame,severity
vid-(603),44,72,low
vid-(569),24,69,high
vid-(133),17,52,medium
vid-(375),67,92,high
vid-(91),29,100,high
vid-(215),28,55,low
vid-(248),69,87,low
vid-(52),58,130,high
vid-(381),85,141,medium
vid-(387),40,81,low
vid-(535),48,80,high
vid-(480),28,59,medium
vid-(496),96,182,high
vid-(267),475,543,high
vid-(476),109,145,medium
vid-(562),23,79,high
vid-(278),488,546,high
vid-(105),4,110,high
vid-(58),41,75,medium
vid-(353),75,100,low
vid-(122),64,119,medium
vid-(416),66,140,high
vid-(404),18,73,medium
vid-(481),59,107,medium
vid-(185),117,149,low
vid-(425),194,213,medium
vid-(309),29,77,medium
vid-(128),25,55,medium
vid-(223),78,125,high
vid-(347),73,110,medium
vid-(109),40,123,high
vid-(490),41,115,low
vid-(218),97,129,high
vid-(352),119,144,medium
vid-(146),7,39,medium
vid-(517),44,70,medium
vid-(571),63,86,medium
vid-(257),262,297,medium
vid-(552),26,114,high
vid-(501),50,104,high
vid-(495),37,66,medium
vid-(555),51,110,high
vid-(262),522,581,high
vid-(546),57,80,low
vid-(397),66,120,low
vid-(272),226,258,medium
vid-(522),36,58,medium
vid-(259),156,218,high
vid-(506),47,126,low
vid-(73),46,80,medium
vid-(80),29,63,medium
vid-(559),50,100,medium
vid-(595),36,73,low
vid-(382),145,175,high
vid-(303),47,73,medium
vid-(78),46,84,medium
vid-(575),30,74,high
vid-(322),85,128,high
vid-(188),34,80,low
vid-(317),407,439,medium
vid-(198),8,41,medium
vid-(359),36,90,medium
vid-(564),47,80,low
vid-(447),69,110,medium
vid-(454),33,73,medium
vid-(601),41,62,low
vid-(432),58,112,medium
vid-(567),29,49,medium
vid-(346),75,98,high
vid-(549),14,30,low
vid-(472),38,93,high
vid-(498),38,88,medium
vid-(211),13,82,high
vid-(66),69,114,medium
vid-(574),57,75,medium
vid-(456),52,127,high
vid-(67),21,74,medium
vid-(320),21,128,medium
vid-(358),112,146,high
vid-(86),24,69,medium
vid-(451),37,107,high
vid-(580),22,77,high
vid-(178),25,47,medium
vid-(533),38,111,medium
vid-(507),44,86,medium
vid-(576),38,59,medium
vid-(135),79,106,low
vid-(350),68,120,high
vid-(114),21,33,medium
vid-(327),170,230,medium
vid-(62),42,98,low
vid-(88),53,102,medium
vid-(560),33,67,medium
vid-(131),12,60,medium
vid-(145),22,94,high
vid-(386),105,161,high
vid-(449),73,120,high
vid-(275),351,381,medium
vid-(166),47,97,medium
vid-(367),107,129,low
vid-(395),78,116,low
vid-(96),22,85,high
vid-(345),32,88,low
vid-(280),348,391,medium
vid-(182),64,127,high
vid-(68),35,63,medium
vid-(605),22,80,medium
vid-(81),38,60,low
vid-(144),21,109,high
vid-(489),36,100,medium
vid-(474),132,194,medium
vid-(419),128,166,medium
vid-(9),33,85,medium
vid-(18),49,85,low
vid-(26),28,60,low
vid-(23),69,101,medium
vid-(29),61,115,medium
vid-(12),27,45,medium
vid-(40),21,80,medium
vid-(4),197,255,low
vid-(41),46,130,high
vid-(35),14,80,medium
vid-(13),60,108,high
vid-(34),19,85,high
vid-(1),44,140,high
vid-(31),5,30,medium
vid-(19),28,75,medium
vid-(37),31,63,medium
vid-(43),53,83,low
vid-(44),0,27,medium
vid-(467),40,79,high
vid-(598),24,54,medium
vid-(435),88,158,medium
vid-(544),45,92,medium
vid-(95),72,112,low
vid-(475),68,112,low
vid-(578),36,55,low
vid-(92),0,85,high
vid-(326),132,152,low
vid-(127),23,94,medium
vid-(119),30,96,medium
vid-(550),38,124,medium
vid-(405),12,63,high
vid-(471),20,94,high
vid-(118),11,65,medium
vid-(230),777,861,medium
vid-(42),101,147,medium
vid-(588),78,170,medium
vid-(407),22,105,medium
vid-(430),58,93,low
vid-(344),88,159,low
vid-(194),53,109,medium
vid-(70),41,99,medium
vid-(461),24,109,high
vid-(563),47,119,medium
vid-(276),912,975,high
vid-(445),54,94,high
vid-(161),31,66,medium
vid-(604),24,61,medium
vid-(279),179,238,high
vid-(11),36,57,medium
vid-(288),321,376,medium
vid-(408),146,192,medium
vid-(220),84,112,low
vid-(466),23,110,high
vid-(363),61,130,medium
vid-(302),70,102,high
vid-(164),9,53,medium
vid-(87),57,105,medium
vid-(170),56,149,high
vid-(581),70,118,medium
vid-(176),54,95,medium
vid-(7),18,120,high
vid-(238),42,116,medium
vid-(232),48,61,low
vid-(438),41,113,medium
vid-(148),49,131,high
vid-(97),44,104,medium
vid-(149),18,98,medium
vid-(486),38,70,medium
vid-(337),96,186,high
vid-(245),65,161,high
vid-(487),54,116,medium
vid-(384),119,147,medium
vid-(270),157,270,medium
vid-(385),51,140,medium
vid-(324),112,143,low
vid-(516),23,80,medium
vid-(538),41,130,medium
vid-(470),43,95,high
vid-(301),26,97,high
vid-(610),25,50,low
vid-(173),26,70,medium
vid-(477),67,104,medium
vid-(587),23,60,medium
vid-(100),13,70,low
vid-(287),241,287,medium
vid-(156),32,62,low
vid-(234),210,230,medium
vid-(266),399,479,high
vid-(240),193,241,low
vid-(208),0,149,high
vid-(53),52,105,medium
vid-(222),293,340,medium
vid-(341),36,84,low
vid-(158),78,140,medium
vid-(94),23,100,high
vid-(600),12,38,low
vid-(106),16,104,medium
vid-(421),116,212,high
vid-(110),20,70,medium
vid-(200),20,50,medium
vid-(77),16,85,high
vid-(396),128,136,low
vid-(306),9,62,medium
vid-(442),34,56,medium
vid-(592),47,147,high
vid-(528),27,106,medium
vid-(229),78,152,medium
vid-(455),46,98,medium
vid-(179),9,62,high
vid-(433),38,123,high
vid-(307),55,108,medium
vid-(84),51,63,low
vid-(312),35,109,medium
vid-(253),211,275,high
vid-(351),71,96,high
vid-(368),96,107,medium
vid-(593),52,82,medium
vid-(28),75,125,medium
vid-(147),29,57,medium
vid-(187),54,91,medium
vid-(443),35,111,high
vid-(423),103,143,medium
vid-(134),57,90,low
vid-(414),56,138,high
vid-(413),81,156,medium
vid-(444),28,144,high
vid-(214),52,98,medium
vid-(132),73,128,medium
vid-(79),75,127,medium
vid-(85),29,71,medium
vid-(22),37,50,low
vid-(511),37,78,medium
vid-(409),56,123,medium
vid-(357),92,126,low
vid-(316),31,75,medium
vid-(608),120,184,medium
vid-(256),354,380,low
vid-(138),50,117,medium
vid-(49),42,131,high
vid-(473),57,137,low
vid-(107),9,111,high
vid-(243),758,788,low
vid-(210),118,200,medium
vid-(340),23,73,medium
vid-(163),31,70,medium
vid-(261),199,269,medium
vid-(244),86,144,high
vid-(46),45,80,high
vid-(5),36,68,medium
vid-(50),100,160,low
vid-(3),45,60,low
vid-(54),60,137,high
vid-(274),183,254,high
vid-(241),35,67,high
vid-(195),25,97,medium
vid-(499),64,95,medium
vid-(190),24,81,medium
vid-(129),31,91,high
vid-(370),46,130,medium
vid-(488),38,138,high
vid-(534),41,130,high
vid-(143),53,90,medium
vid-(597),31,110,high
vid-(318),80,109,medium
vid-(441),53,97,medium
vid-(207),12,90,medium
vid-(331),74,110,medium
vid-(542),68,121,high
vid-(422),32,157,medium
vid-(570),33,86,medium
vid-(157),15,51,medium
vid-(32),7,52,low
vid-(254),128,183,medium
vid-(314),74,120,high
vid-(319),34,75,high
vid-(378),81,99,medium
vid-(545),34,65,medium
vid-(584),20,158,medium
vid-(177),4,50,low
vid-(217),226,271,high
vid-(448),61,152,medium
vid-(406),15,66,medium
vid-(323),232,278,medium
vid-(530),40,62,low
vid-(376),82,139,low
vid-(55),125,153,low
vid-(227),252,412,high
vid-(191),64,120,medium
vid-(393),71,120,medium
vid-(124),17,105,high
vid-(171),10,68,medium
vid-(596),43,73,low
vid-(273),479,553,high
vid-(264),11,206,medium
vid-(308),36,73,medium
vid-(51),69,122,medium
vid-(123),70,147,high
vid-(76),19,61,medium
vid-(412),73,104,medium
vid-(152),35,108,high
vid-(263),600,701,high
vid-(45),44,110,high
vid-(399),89,265,high
vid-(48),26,56,medium
vid-(153),24,46,medium
vid-(90),18,100,medium
vid-(392),53,100,medium
vid-(536),30,73,medium
vid-(59),48,126,medium
vid-(199),10,60,medium
vid-(612),36,59,medium
vid-(415),67,120,medium
vid-(458),21,92,high
vid-(532),24,91,high
vid-(181),31,105,high
vid-(169),13,65,medium
vid-(112),62,138,medium
vid-(269),209,231,high
vid-(281),197,209,medium
vid-(142),58,102,medium
vid-(141),47,88,medium
vid-(203),75,124,medium
vid-(372),59,101,medium
vid-(71),34,72,medium
vid-(336),117,139,medium
vid-(38),18,58,medium
vid-(348),89,108,low
vid-(205),18,56,medium
vid-(589),39,61,low
vid-(482),89,128,medium
vid-(304),49,74,medium
vid-(75),35,85,medium
vid-(125),25,70,medium
vid-(391),23,59,medium
vid-(401),6,77,medium
vid-(192),24,61,medium
vid-(216),62,98,medium
vid-(510),57,86,medium
vid-(389),148,200,medium
vid-(221),102,158,high
vid-(457),38,108,medium
vid-(527),58,109,low
vid-(242),136,163,medium
vid-(553),41,75,low
vid-(183),22,104,high
vid-(260),177,225,medium
vid-(364),97,118,low
vid-(521),25,67,medium
vid-(463),46,80,low
vid-(33),11,95,high
vid-(439),90,123,medium
vid-(529),41,79,medium
vid-(140),33,97,medium
vid-(61),76,130,medium
vid-(362),44,90,high
vid-(219),145,177,medium
vid-(468),69,128,medium
vid-(236),199,290,medium
vid-(568),51,120,medium
vid-(440),70,109,medium
vid-(271),472,600,medium
vid-(551),26,68,medium
vid-(291),2969,3001,medium
vid-(247),0,92,low
vid-(497),58,140,medium
vid-(500),26,99,medium
vid-(30),10,62,high
vid-(258),279,440,high
vid-(150),20,102,medium
vid-(332),159,247,high
vid-(330),99,134,medium
vid-(155),11,80,medium
vid-(465),40,95,medium
vid-(289),104,173,high
vid-(561),29,55,medium
vid-(310),19,73,medium
vid-(102),45,100,medium
vid-(25),41,80,low
vid-(299),92,149,medium
vid-(311),74,130,medium
vid-(398),44,193,high
vid-(379),71,126,medium
vid-(111),50,158,high
vid-(285),497,548,high
vid-(250),173,232,low
vid-(2),30,119,medium
vid-(226),271,303,low
vid-(577),11,32,medium
vid-(295),737,834,high
vid-(493),74,102,medium
vid-(99),56,105,medium
vid-(360),18,105,medium
vid-(565),55,120,medium
vid-(283),147,195,high
vid-(566),43,90,medium
vid-(609),12,68,low
vid-(126),63,144,medium
vid-(515),63,93,medium
vid-(525),17,81,low
vid-(265),273,340,high
vid-(121),69,99,medium
vid-(427),122,217,high
vid-(162),36,81,medium
vid-(321),40,70,high
vid-(403),11,60,medium
vid-(154),13,56,medium
vid-(298),35,112,medium
vid-(485),65,136,high
vid-(213),58,118,medium
vid-(233),132,186,high
vid-(410),82,113,medium
vid-(206),38,70,medium
vid-(294),122,197,medium
vid-(429),106,143,medium
vid-(20),64,90,low
vid-(282),600,632,high
vid-(15),46,134,medium
vid-(556),18,51,low
vid-(21),11,60,high
vid-(24),47,70,low
vid-(446),78,123,medium
vid-(113),19,77,medium
vid-(380),91,122,low
vid-(305),24,63,medium
vid-(460),39,98,high
vid-(523),25,98,medium
vid-(268),434,492,high
vid-(47),14,100,high
vid-(478),47,128,medium
vid-(547),19,77,medium
vid-(342),61,87,medium
vid-(459),52,82,medium
vid-(526),26,95,medium
vid-(585),44,67,medium
vid-(388),51,93,medium
vid-(296),70,152,medium
vid-(329),73,132,medium
vid-(573),40,81,medium
vid-(180),61,97,medium
vid-(484),60,103,medium
vid-(184),14,79,medium
vid-(10),40,94,medium
vid-(582),86,140,medium
vid-(167),25,57,low
vid-(159),94,242,medium
vid-(402),64,88,high
vid-(579),29,83,medium
vid-(339),44,91,medium
vid-(172),21,50,low
vid-(428),31,91,medium
vid-(27),44,60,low
vid-(426),60,120,high
vid-(548),35,76,medium
vid-(371),69,118,medium
vid-(186),52,77,medium
vid-(436),36,103,medium
vid-(197),34,88,medium
vid-(277),511,562,medium
vid-(16),26,60,low
vid-(151),16,42,medium
vid-(483),58,103,medium
vid-(196),63,80,medium
vid-(313),38,84,medium
vid-(491),87,122,low
vid-(225),231,271,medium
vid-(237),1053,1136,high
vid-(228),636,680,medium
vid-(572),28,84,medium
vid-(74),70,115,medium
vid-(14),20,52,medium
vid-(39),11,75,high
vid-(586),7,39,medium
vid-(520),32,64,medium
vid-(202),20,68,medium
vid-(514),34,190,medium
vid-(606),21,61,low
vid-(252),17,75,low
vid-(212),16,78,medium
vid-(365),51,103,medium
vid-(63),95,148,medium
vid-(292),168,276,medium
vid-(137),31,71,medium
vid-(494),27,75,medium
vid-(531),19,64,low
vid-(297),55,98,medium
vid-(130),18,74,medium
vid-(554),120,168,medium
vid-(160),14,61,medium
vid-(613),26,140,high
vid-(17),77,120,low
vid-(255),563,595,medium
vid-(174),27,131,high
vid-(464),45,68,low
vid-(115),125,152,medium
vid-(374),119,143,medium
vid-(518),41,88,medium
vid-(6),42,74,medium
vid-(251),254,305,high
vid-(431),40,80,medium
vid-(607),38,81,medium
vid-(590),58,94,medium
vid-(72),67,120,medium
vid-(602),26,60,low
vid-(8),40,67,high
vid-(101),28,87,medium
vid-(104),44,107,medium
vid-(508),38,100,medium
vid-(325),176,235,medium
vid-(512),27,80,medium
vid-(286),188,250,high
vid-(328),183,225,low
vid-(354),57,121,medium
vid-(93),56,84,medium
vid-(335),44,115,medium
vid-(400),21,93,medium
vid-(36),34,108,medium
