clip_name,predicted_start_frame,predicted_end_frame,peak_frame_for_verification
vid-(89),46,78,62
vid-(603),30,62,46
vid-(569),42,74,58
vid-(133),29,61,45
vid-(375),68,100,84
vid-(91),36,68,52
vid-(215),17,49,33
vid-(248),37,69,53
vid-(52),58,90,74
vid-(13),71,103,87
vid-(381),82,114,98
vid-(387),103,135,119
vid-(535),48,80,64
vid-(480),17,49,33
vid-(34),7,39,23
vid-(496),103,135,119
vid-(267),562,594,578
vid-(476),7,39,23
vid-(562),8,40,24
vid-(278),771,803,787
vid-(105),43,75,59
vid-(58),89,121,105
vid-(353),54,86,70
vid-(122),43,75,59
vid-(416),45,77,61
vid-(404),65,97,81
vid-(481),0,24,8
vid-(185),117,149,133
vid-(425),143,175,159
vid-(309),37,69,53
vid-(128),0,22,6
vid-(223),710,742,726
vid-(347),54,86,70
vid-(109),105,137,121
vid-(1),97,129,113
vid-(490),7,39,23
vid-(218),97,129,113
vid-(31),40,72,56
vid-(352),84,116,100
vid-(146),7,39,23
vid-(517),56,88,72
vid-(571),71,103,87
vid-(257),496,528,512
vid-(552),41,73,57
vid-(501),70,102,86
vid-(495),0,21,5
vid-(555),38,70,54
vid-(262),337,369,353
vid-(546),0,20,4
vid-(397),0,20,4
vid-(272),786,818,802
vid-(522),11,43,27
vid-(259),1444,1476,1460
vid-(506),97,129,113
vid-(73),125,157,141
vid-(80),15,47,31
vid-(559),53,85,69
vid-(595),41,73,57
vid-(382),174,206,190
vid-(303),10,42,26
vid-(78),59,91,75
vid-(575),0,26,10
vid-(19),26,58,42
vid-(322),276,308,292
vid-(188),81,113,97
vid-(317),407,439,423
vid-(198),0,21,5
vid-(359),30,62,46
vid-(564),71,103,87
vid-(447),17,49,33
vid-(454),70,102,86
vid-(601),0,20,4
vid-(432),63,95,79
vid-(567),16,48,32
vid-(346),41,73,57
vid-(549),146,178,162
vid-(37),31,63,47
vid-(472),12,44,28
vid-(498),18,50,34
vid-(211),0,31,15
vid-(66),79,111,95
vid-(574),12,44,28
vid-(456),41,73,57
vid-(67),1,33,17
vid-(320),48,80,64
vid-(358),59,91,75
vid-(86),0,23,7
vid-(451),11,43,27
vid-(580),0,27,11
vid-(178),0,27,11
vid-(533),6,38,22
vid-(43),57,89,73
vid-(507),59,91,75
vid-(576),0,32,16
vid-(135),55,87,71
vid-(350),150,182,166
vid-(114),749,781,765
vid-(327),170,202,186
vid-(62),21,53,37
vid-(88),60,92,76
vid-(560),35,67,51
vid-(131),0,26,10
vid-(145),90,122,106
vid-(386),27,59,43
vid-(449),55,87,71
vid-(275),2192,2224,2208
vid-(166),28,60,44
vid-(367),20,52,36
vid-(395),79,111,95
vid-(96),14,46,30
vid-(345),28,60,44
vid-(280),301,333,317
vid-(182),80,112,96
vid-(44),0,27,11
vid-(68),48,80,64
vid-(605),0,31,15
vid-(81),28,60,44
vid-(144),57,89,73
vid-(489),13,45,29
vid-(474),122,154,138
vid-(419),69,101,85
vid-(467),107,139,123
vid-(598),0,20,4
vid-(435),199,231,215
vid-(544),36,68,52
vid-(95),25,57,41
vid-(475),91,123,107
vid-(578),0,25,9
vid-(92),33,65,49
vid-(326),125,157,141
vid-(127),0,22,6
vid-(119),19,51,35
vid-(550),29,61,45
vid-(405),13,45,29
vid-(471),42,74,58
vid-(118),37,69,53
vid-(230),987,1019,1003
vid-(42),135,167,151
vid-(588),78,110,94
vid-(407),24,56,40
vid-(430),30,62,46
vid-(344),33,65,49
vid-(194),25,57,41
vid-(70),0,32,16
vid-(461),92,124,108
vid-(563),27,59,43
vid-(276),639,671,655
vid-(445),42,74,58
vid-(161),5,37,21
vid-(604),18,50,34
vid-(279),1545,1577,1561
vid-(11),25,57,41
vid-(288),332,364,348
vid-(408),137,169,153
vid-(220),48,80,64
vid-(466),20,52,36
vid-(363),0,23,7
vid-(302),70,102,86
vid-(164),39,71,55
vid-(87),9,41,25
vid-(170),72,104,88
vid-(581),58,90,74
vid-(176),48,80,64
vid-(7),70,102,86
vid-(238),1730,1762,1746
vid-(232),28,60,44
vid-(438),27,59,43
vid-(148),13,45,29
vid-(97),52,84,68
vid-(149),24,56,40
vid-(486),38,70,54
vid-(337),90,122,106
vid-(245),31,63,47
vid-(487),31,63,47
vid-(384),70,102,86
vid-(270),1396,1428,1412
vid-(385),44,76,60
vid-(324),130,162,146
vid-(516),4,36,20
vid-(538),104,136,120
vid-(470),56,88,72
vid-(301),73,105,89
vid-(610),0,26,10
vid-(173),0,28,12
vid-(477),55,87,71
vid-(587),0,24,8
vid-(100),47,79,63
vid-(287),1681,1713,1697
vid-(156),37,69,53
vid-(234),213,245,229
vid-(266),1028,1060,1044
vid-(240),1318,1350,1334
vid-(208),129,161,145
vid-(53),0,18,2
vid-(222),179,211,195
vid-(341),14,46,30
vid-(158),22,54,38
vid-(94),32,64,48
vid-(600),15,47,31
vid-(106),4,36,20
vid-(421),119,151,135
vid-(110),24,56,40
vid-(200),41,73,57
vid-(77),0,16,0
vid-(396),72,104,88
vid-(306),0,26,10
vid-(442),43,75,59
vid-(592),46,78,62
vid-(528),76,108,92
vid-(229),71,103,87
vid-(455),0,29,13
vid-(179),4,36,20
vid-(433),87,119,103
vid-(307),72,104,88
vid-(84),33,65,49
vid-(312),109,141,125
vid-(253),235,267,251
vid-(351),57,89,73
vid-(368),85,117,101
vid-(593),0,23,7
vid-(28),47,79,63
vid-(147),20,52,36
vid-(187),80,112,96
vid-(443),0,27,11
vid-(423),40,72,56
vid-(134),0,26,10
vid-(414),82,114,98
vid-(413),73,105,89
vid-(444),21,53,37
vid-(214),54,86,70
vid-(132),27,59,43
vid-(79),19,51,35
vid-(85),6,38,22
vid-(22),34,66,50
vid-(511),32,64,48
vid-(409),39,71,55
vid-(357),87,119,103
vid-(316),78,110,94
vid-(608),107,139,123
vid-(256),741,773,757
vid-(138),85,117,101
vid-(49),29,61,45
vid-(473),130,162,146
vid-(107),10,42,26
vid-(243),596,628,612
vid-(210),111,143,127
vid-(340),0,21,5
vid-(163),41,73,57
vid-(261),1140,1172,1156
vid-(244),4,36,20
vid-(46),53,85,69
vid-(5),36,68,52
vid-(50),0,20,4
vid-(3),62,94,78
vid-(54),168,200,184
vid-(274),179,211,195
vid-(241),35,67,51
vid-(195),52,84,68
vid-(499),75,107,91
vid-(190),19,51,35
vid-(129),31,63,47
vid-(370),43,75,59
vid-(488),0,20,4
vid-(534),14,46,30
vid-(143),81,113,97
vid-(597),66,98,82
vid-(318),78,110,94
vid-(441),31,63,47
vid-(207),39,71,55
vid-(331),55,87,71
vid-(542),602,634,618
vid-(422),6,38,22
vid-(570),0,30,14
vid-(157),2,34,18
vid-(32),0,25,9
vid-(254),255,287,271
vid-(314),48,80,64
vid-(319),70,102,86
vid-(378),46,78,62
vid-(545),37,69,53
vid-(584),55,87,71
vid-(177),59,91,75
vid-(217),745,777,761
vid-(448),24,56,40
vid-(406),2,34,18
vid-(323),156,188,172
vid-(530),24,56,40
vid-(376),0,29,13
vid-(55),115,147,131
vid-(227),340,372,356
vid-(191),40,72,56
vid-(393),65,97,81
vid-(124),41,73,57
vid-(171),10,42,26
vid-(596),50,82,66
vid-(273),258,290,274
vid-(264),73,105,89
vid-(308),15,47,31
vid-(51),90,122,106
vid-(123),49,81,65
vid-(76),0,26,10
vid-(412),21,53,37
vid-(152),26,58,42
vid-(263),1716,1748,1732
vid-(45),19,51,35
vid-(399),42,74,58
vid-(48),24,56,40
vid-(153),7,39,23
vid-(90),22,54,38
vid-(392),0,31,15
vid-(536),25,57,41
vid-(59),60,92,76
vid-(199),23,55,39
vid-(612),28,60,44
vid-(415),46,78,62
vid-(458),18,50,34
vid-(532),35,67,51
vid-(181),76,108,92
vid-(169),33,65,49
vid-(112),73,105,89
vid-(269),761,793,777
vid-(281),178,210,194
vid-(142),16,48,32
vid-(141),46,78,62
vid-(203),108,140,124
vid-(372),30,62,46
vid-(71),90,122,106
vid-(336),38,70,54
vid-(38),25,57,41
vid-(348),99,131,115
vid-(205),24,56,40
vid-(589),4,36,20
vid-(482),74,106,90
vid-(304),76,108,92
vid-(75),19,51,35
vid-(125),16,48,32
vid-(391),63,95,79
vid-(401),35,67,51
vid-(192),32,64,48
vid-(216),78,110,94
vid-(510),79,111,95
vid-(389),138,170,154
vid-(221),279,311,295
vid-(457),4,36,20
vid-(527),49,81,65
vid-(242),504,536,520
vid-(553),0,23,7
vid-(183),103,135,119
vid-(260),260,292,276
vid-(364),2,34,18
vid-(521),12,44,28
vid-(463),35,67,51
vid-(33),0,23,7
vid-(439),106,138,122
vid-(529),40,72,56
vid-(140),33,65,49
vid-(61),52,84,68
vid-(362),112,144,128
vid-(219),320,352,336
vid-(468),64,96,80
vid-(236),161,193,177
vid-(568),16,48,32
vid-(440),95,127,111
vid-(271),257,289,273
vid-(551),15,47,31
vid-(291),947,979,963
vid-(247),222,254,238
vid-(497),45,77,61
vid-(500),14,46,30
vid-(30),20,52,36
vid-(258),303,335,319
vid-(150),44,76,60
vid-(332),138,170,154
vid-(330),132,164,148
vid-(155),0,29,13
vid-(465),47,79,63
vid-(289),2204,2236,2220
vid-(561),17,49,33
vid-(310),5,37,21
vid-(102),0,26,10
vid-(25),10,42,26
vid-(299),61,93,77
vid-(311),69,101,85
vid-(398),56,88,72
vid-(379),17,49,33
vid-(111),90,122,106
vid-(285),513,545,529
vid-(250),47,79,63
vid-(2),87,119,103
vid-(226),1898,1930,1914
vid-(577),0,31,15
vid-(295),725,757,741
vid-(493),59,91,75
vid-(99),0,25,9
vid-(360),39,71,55
vid-(565),69,101,85
vid-(283),832,864,848
vid-(566),11,43,27
vid-(609),49,81,65
vid-(126),125,157,141
vid-(515),45,77,61
vid-(525),60,92,76
vid-(265),160,192,176
vid-(121),67,99,83
vid-(427),172,204,188
vid-(162),32,64,48
vid-(321),39,71,55
vid-(403),0,31,15
vid-(154),29,61,45
vid-(298),13,45,29
vid-(485),61,93,77
vid-(213),55,87,71
vid-(233),119,151,135
vid-(410),72,104,88
vid-(206),0,23,7
vid-(294),498,530,514
vid-(429),116,148,132
vid-(20),70,102,86
vid-(282),600,632,616
vid-(15),81,113,97
vid-(556),56,88,72
vid-(21),9,41,25
vid-(24),17,49,33
vid-(446),85,117,101
vid-(113),49,81,65
vid-(380),214,246,230
vid-(305),107,139,123
vid-(460),66,98,82
vid-(523),19,51,35
vid-(268),2335,2367,2351
vid-(47),39,71,55
vid-(478),0,22,6
vid-(547),64,96,80
vid-(342),55,87,71
vid-(459),0,21,5
vid-(526),3,35,19
vid-(585),62,94,78
vid-(388),49,81,65
vid-(296),70,102,86
vid-(329),162,194,178
vid-(573),32,64,48
vid-(180),20,52,36
vid-(484),0,32,16
vid-(184),118,150,134
vid-(10),35,67,51
vid-(582),51,83,67
vid-(167),7,39,23
vid-(159),95,127,111
vid-(402),61,93,77
vid-(579),0,29,13
vid-(339),11,43,27
vid-(172),20,52,36
vid-(428),14,46,30
vid-(27),18,50,34
vid-(426),71,103,87
vid-(548),12,44,28
vid-(371),32,64,48
vid-(186),61,93,77
vid-(436),86,118,102
vid-(197),86,118,102
vid-(277),1523,1555,1539
vid-(16),0,29,13
vid-(151),0,19,3
vid-(483),0,32,16
vid-(196),31,63,47
vid-(313),45,77,61
vid-(491),132,164,148
vid-(225),215,247,231
vid-(237),861,893,877
vid-(228),909,941,925
vid-(572),0,22,6
vid-(74),33,65,49
vid-(14),20,52,36
vid-(39),33,65,49
vid-(586),7,39,23
vid-(520),32,64,48
vid-(202),0,25,9
vid-(514),90,122,106
vid-(606),0,18,2
vid-(252),176,208,192
vid-(212),25,57,41
vid-(365),98,130,114
vid-(63),42,74,58
vid-(292),91,123,107
vid-(137),25,57,41
vid-(494),1,33,17
vid-(531),28,60,44
vid-(297),47,79,63
vid-(130),9,41,25
vid-(554),81,113,97
vid-(160),8,40,24
vid-(613),0,27,11
vid-(17),11,43,27
vid-(255),563,595,579
vid-(174),53,85,69
vid-(464),13,45,29
vid-(115),123,155,139
vid-(374),53,85,69
vid-(518),4,36,20
vid-(6),42,74,58
vid-(251),2294,2326,2310
vid-(431),19,51,35
vid-(607),48,80,64
vid-(590),50,82,66
vid-(72),59,91,75
vid-(602),60,92,76
vid-(8),55,87,71
vid-(101),17,49,33
vid-(104),13,45,29
vid-(508),20,52,36
vid-(325),100,132,116
vid-(512),58,90,74
vid-(286),414,446,430
vid-(328),79,111,95
vid-(354),123,155,139
vid-(93),41,73,57
vid-(335),64,96,80
vid-(400),39,71,55
vid-(36),46,78,62
